date,hpi,numsold,log_hpi,diff_log_hpi
2008-04-01,212.22,49,5.357623472445444,-0.004794819509116088
2008-05-01,211.4,49,5.353752073436137,-0.003871399009306664
2008-06-01,210.97,45,5.3517159432727315,-0.0020361301634057583
2008-07-01,208.87,43,5.341712048867226,-0.01000389440550542
2008-08-01,206.59,38,5.330736152803538,-0.010975896063688317
2008-09-01,204.04,35,5.318316053054725,-0.012420099748812419
2008-10-01,201.53,32,5.305938253679398,-0.01237779937532757
2008-11-01,197.31,27,5.284776095981369,-0.021162157698028317
2008-12-01,195.9,26,5.277604324950495,-0.007171771030874297
2009-01-01,196.68,24,5.281578042543739,0.00397371759324372
2009-02-01,197.65,29,5.286497789742694,0.004919747198955271
2009-03-01,196.0,31,5.278114659230517,-0.008383130512177317
2009-04-01,196.22,32,5.279236478735244,0.0011218195047275614
2009-05-01,197.32,34,5.284826776365538,0.005590297630293506
2009-06-01,198.14,37,5.288973851544884,0.004147075179345983
2009-07-01,197.48,38,5.285637313390662,-0.0033365381542216355
2009-08-01,196.55,36,5.280916851867869,-0.004720461522793151
2009-09-01,195.55,30,5.2758161012015234,-0.005100750666345633
2009-10-01,195.79,33,5.277042656269182,0.0012265550676584525
2009-11-01,195.6,26,5.276071757600717,-0.0009708986684646703
2009-12-01,191.95,24,5.257234921446806,-0.018836836153910852
2010-01-01,191.14,24,5.253006143838033,-0.004228777608773271
2010-02-01,190.29,27,5.248549224313916,-0.004456919524117531
2010-03-01,191.23,36,5.253476892074882,0.0049276677609668695
2010-04-01,193.0,41,5.262690188904886,0.00921329683000316
2010-05-01,194.98,26,5.272896989201126,0.010206800296240104
2010-06-01,193.72,28,5.266413817535028,-0.006483171666097576
2010-07-01,192.31,26,5.259108653322756,-0.007305164212271897
2010-08-01,191.5,23,5.2548878086207,-0.00422084470205597
2010-09-01,189.0,25,5.241747015059643,-0.013140793561057684
2010-10-01,188.67,23,5.239999457223521,-0.0017475578361212385
2010-11-01,187.25,20,5.232444622397328,-0.007554834826192902
2010-12-01,184.63,23,5.218353822407652,-0.014090799989676661
2011-01-01,182.3,21,5.205653681684617,-0.012700140723034714
2011-02-01,180.81,22,5.197446756163062,-0.008206925521554886
2011-03-01,179.91,28,5.192456725848528,-0.004990030314534266
2011-04-01,181.82,30,5.203017186693712,0.010560460845184139
2011-05-01,183.32,28,5.211233259640923,0.00821607294721094
2011-06-01,185.24,28,5.221652281612552,0.010419021971628695
2011-07-01,185.66,27,5.223917043971786,0.0022647623592346733
2011-08-01,184.33,25,5.216727629508083,-0.007189414463703692
2011-09-01,184.52,24,5.21775785868962,0.0010302291815369458
2011-10-01,182.93,25,5.209103566003207,-0.008654292686412823
2011-11-01,183.19,23,5.210523865597367,0.0014202995941605678
2011-12-01,182.3,24,5.205653681684617,-0.004870183912750292
2012-01-01,180.39,23,5.195121173719587,-0.010532507965030469
2012-02-01,181.36,30,5.200484006199273,0.00536283247968683
2012-03-01,184.15,34,5.2157506428910745,0.015266636691801061
2012-04-01,187.26,34,5.232498025510743,0.016747382619668905
